Node,AlgoValue,MCValue,Diff
305,0.8688433338076386,0.83421,0.034633333807638556
202,0.7981281162685694,0.763999,0.034129116268569404
261,0.8201258774893442,0.794036,0.026089877489344215
260,0.8087502307142661,0.804307,0.004443230714266111
51,0.47829690000000014,0.47928,0.000983099999999848
16,0.81,0.809101,0.0008990000000000942
280,0.34867844010000015,0.347801,0.0008774401000001264
73,0.7946099999999999,0.795482,0.0008720000000000949
58,0.38742048900000015,0.386553,0.0008674890000001656
296,0.47829690000000014,0.477448,0.0008489000000001523
159,0.22876792454961012,0.227926,0.0008419245496101291
160,0.2058911320946491,0.205059,0.0008321320946491073
294,0.6079153599000001,0.60709,0.0008253599000001
277,0.1853020188851842,0.186124,0.0008219811148158229
7,0.31381059609000017,0.312994,0.0008165960900001767
173,0.6427832039100001,0.643598,0.0008147960899999029
161,0.1853020188851842,0.18449,0.0008120188851842014
197,0.272233830214036,0.271427,0.0008068302140360473
6,0.28242953648100017,0.281626,0.0008035364810001777
281,0.38742048900000015,0.386624,0.0007964890000001223
196,0.24501044719263243,0.244218,0.0007924471926324395
11,0.47829690000000014,0.477508,0.0007889000000001478
273,0.28242953648100017,0.283213,0.0007834635189998274
105,0.7067849094151495,0.70755,0.0007650905848505252
304,0.668420449191,0.66917,0.0007495508090000769
59,0.34867844010000015,0.347938,0.0007404401000001282
191,0.6561000000000001,0.656836,0.0007359999999998479
212,0.5314410000000002,0.532174,0.0007329999999998726
276,0.2058911320946491,0.206618,0.0007268679053508975
112,0.6603891868856054,0.661114,0.0007248131143945402
211,0.5904900000000002,0.591202,0.0007119999999998239
274,0.25418658283290013,0.254886,0.0006994171670998695
180,0.521343621,0.522039,0.0006953790000000515
194,0.19845846222603228,0.197764,0.000694462226032283
15,0.7290000000000001,0.728312,0.000688000000000133
275,0.22876792454961012,0.229453,0.0006850754503898715
259,0.521343621,0.522026,0.0006823790000000107
176,0.34205354973810004,0.341375,0.0006785497381000538
4,0.22876792454961012,0.228094,0.0006739245496101276
52,0.43046721000000016,0.431137,0.0006697899999998369
8,0.34867844010000015,0.348014,0.0006644401000001632
272,0.31381059609000017,0.314474,0.0006634039099998046
