Node,AlgoValue,MCValue,Diff
25,0.7859147610807606,0.785244,0.0006707610807605846
26,0.6808981782949068,0.680303,0.0005951782949068507
3,0.41880154860900015,0.418324,0.0004775486090001779
12,0.6918855294872145,0.691449,0.0004365294872145098
10,0.8016626335695373,0.802099,0.00043636643046274237
1,0.7721160382308452,0.771711,0.000405038230845145
19,0.6820131218178451,0.682398,0.00038487818215482417
23,0.41880154860900015,0.419186,0.0003844513909998515
6,0.7484906428468895,0.748109,0.0003816428468894628
20,0.7657128783032761,0.766094,0.0003811216967239961
9,0.6383196900000001,0.637983,0.0003366900000001394
17,0.7605250091434186,0.760203,0.0003220091434186223
15,0.5904900000000002,0.590755,0.0002649999999998487
5,0.774230566437009,0.77398,0.0002505664370090477
24,0.5170389489000001,0.516793,0.0002459489000001813
16,0.7540051890966986,0.754199,0.0001938109033013946
11,0.9,0.899818,0.00018200000000001548
8,0.7705393487407032,0.770714,0.0001746512592968319
7,0.7290000000000001,0.728848,0.000152000000000041
14,0.7804720853300803,0.780582,0.00010991466991971954
4,0.7779949012937416,0.77792,7.490129374165821e-5
13,0.8081086229853572,0.808042,6.66229853572009e-5
21,0.41880154860900015,0.418745,5.654860900017322e-5
2,0.8070371943227478,0.807092,5.480567725224539e-5
22,0.7290000000000001,0.728951,4.900000000007676e-5
18,0.7800681941640999,0.780038,3.0194164099883736e-5
